id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initalSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
221211105,2026/01/02 08:45:00,2026/01/02 14:35:00,OANDA:XAUUSD,0,4000.12,sell,4391.273,4410.533,4352.751,4309.915,103.84,103.84,closed,5,,4352.75104,2,2,1,100000,104000.12
221211575,2026/01/05 13:29:10,2026/01/05 14:46:00,OANDA:XAUUSD,0,3999.74,buy,4402.023,4386.793,4432.481,4620.38,131.32,131.32,closed,1,,4432.48097,2,2,1,100000,107999.86
221212262,2026/01/08 16:32:55,2026/01/08 20:27:05,OANDA:XAUUSD,0,-2000.03,sell,4458.939,4470.288,,4444.715,176.23,176.23,closed,4,,4470.28798,-1,0,1,100000,105999.83
